title,year,genre2,genre3,runtime,rating,votes
Ogoniok-ognivo,2020, Family, Fantasy,88,5.4,301
Gajaman,2022, Comedy,,99,9,148
Suvorov: Velikoye puteshestviye,2022, Adventure, History,85,4,38
Pets 2,2021, Comedy, Family,65,4.8,39
Tom and Jerry: Cowboy Up!,2021, Adventure, Comedy,71,5.2,505
Tarsilinha,2021, Adventure, Comedy,93,8.2,71
Ookami-san wa Taberaretai,2020, Short,,4,6.7,57
The Store,2022, Drama,,143,7,6
Muumipeikko ja pyrstötähti,2021, Adventure, Family,75,7.7,12
Eiga Doraemon: Nobita no shin kyôryû,2020, Adventure, Comedy,110,7.1,"1,071"
Gigigoegoe seonghyeongsu,2020, Horror, Thriller,85,6.1,732
Titus: Mystery of The Enygma,2020, Adventure, Comedy,95,8,72
Zeria,2021, Sci-Fi,,61,6.4,19
Istanbul Muhafizlari: 100 Yilin Muhafizlari,2021, Adventure,,60,5.7,40
Xi yang yang yu hui tai lang zhi kuang chu wei lai,2022, Drama, Sport,94,7.2,72
"The Absurd, Surreal, Metaphysical and Fractured Destiny of Cerebus the Aardvark",2021, Adventure, Comedy,70,6.2,23
Meitantei Conan: Hiiro no fuzai shômei,2021, Crime, Mystery,93,6.2,277
Deadpool Movie in Lego,2021, Action, Adventure,108,8.5,64
Iwa Kakeru! Sport Climbing Girls,2020, Sport,,24,6.1,216
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,2021, Mystery,,104,7.2,313
Journey to Yourland,2022, Adventure, Family,85,7.6,10
Barboskiny Team,2022, Musical,,75,3.8,14
Koshchey: Nachalo,2021, Adventure, Family,90,5.7,129
BanG Dream! Poppin'Dream!,2022, Comedy, Music,70,8.1,19
Princess Principal Crown Handler: Chapter 1,2021, Action, Adventure,54,7.8,79
Barkers: Mind the Cats!,2020, Adventure, Family,77,5.2,66
Presto! School of Magic,2021, Action, Comedy,11,6.4,6
Barber Westchester,2022, Drama,,78,7.3,30
The Pole,2021, Short, Comedy,13,5.4,125
Fukrey Boyzzz: Space Mein Fukrapanti,2020, Comedy, Family,74,8.5,15
"Chien Pourri, la vie à Paris!",2020, Adventure, Comedy,60,7,34
Gekijouban Macross Delta: Zettai Live!!!!!!,2021, Action, Adventure,110,7.2,21
